계,시설구분1,시설구분2,쉼터명칭,도로명주소,지번주소,시설면적,이용가능인원,비고,경도,위도,X좌표(EPSG:5186),Y좌표(EPSG:5186)
1,공공시설,공공청사,신설동주민센터,서울특별시 동대문구 천호대로 26 (신설동역자이르네),서울특별시 동대문구 신설동 96-48,255,20,,127.02606,37.573869,202302.0951,552702.9955
2,특정계층이용시설,회원이용시설,청계센트럴포레아파트경로당,서울특별시 동대문구 무학로 91 (이편한세상청계 센트럴포레),서울특별시 동대문구 용두동 795,,,,127.02922,37.571648,202581.3207,552456.5724
3,공공시설,공공청사,동대문구청,서울특별시 동대문구 천호대로 145 (용두동),서울특별시 동대문구 용두동 39-9,132,5,,127.0395657,37.5744234,203495.1393,552764.9442
4,특정계층이용시설,회원이용시설,동부경로당,서울특별시 동대문구 천호대로45길 57 (용두동),서울특별시 동대문구 용두동 39-454,159.14,48,,127.0436427,37.5753077,203855.2462,552863.2507
5,특정계층이용시설,회원이용시설,명성경로당,서울특별시 동대문구 무학로28길 22-2 (용두동),서울특별시 동대문구 용두동 118-57,307.53,102,,127.0319456,37.5743617,202822.0002,552757.84
6,특정계층이용시설,기타,동대문장애인종합복지관,서울특별시 동대문구 청계천로 521,서울특별시 동대문구 용두동 255-69,26.84,10,,127.034109,37.571805,203013.213,552474.1431
7,특정계층이용시설,회원이용시설,래미안용두1차아파트경로당,서울특별시 동대문구 고산자로29길 18,서울특별시 동대문구 용두동 792-1,86.88,26,,127.036963,37.576301,203265.1411,552973.2425
8,공공시설,공공청사,용두동주민센터,서울특별시 동대문구 천호대로27길 35,서울특별시 동대문구 용두동 792-5,130,20,,127.037297,37.575944,203294.6608,552933.6313
9,특정계층이용시설,회원이용시설,신일경로당,서울특별시 동대문구 무학로18길 5 (용두동),서울특별시 동대문구 용두동 129-93,53.26,16,,127.0308593,37.5707563,202726.1704,552357.6504
10,특정계층이용시설,회원이용시설,신설동경로당,서울특별시 동대문구 하정로2길 10 (신설동),서울특별시 동대문구 신설동 92-14,104.3,31,,127.0272839,37.5747975,202410.1824,552806.079
11,특정계층이용시설,회원이용시설,제기현대아파트경로당,서울특별시 동대문구 정릉천동로 90 (현대아파트상가동),서울특별시 동대문구 제기동 892-66,,,,127.035754,37.580188,203158.1794,553404.6135
12,특정계층이용시설,회원이용시설,제기이수아파트경로당,서울특별시 동대문구 왕산로23길 89 (이수브라운스톤상가),서울특별시 동대문구 제기동 252,,,,127.034084,37.5822,203010.5859,553627.8677
13,특정계층이용시설,회원이용시설,안암골벽산아파트경로당,서울특별시 동대문구 약령시로 25 (안암골벽산아파트 상가 1),서울특별시 동대문구 제기동 153,,,,127.03191,37.583453,202818.5127,553766.869
14,특정계층이용시설,회원이용시설,감초마을경로당,서울특별시 동대문구 약령시로9길 45,서울특별시 동대문구 제기동 133-17,,,,127.035149,37.585086,203104.5359,553948.2155
15,특정계층이용시설,회원이용시설,섬마을경로당,서울특별시 동대문구 고산자로62길 32 (제기동),서울특별시 동대문구 제기동 1211-20,178.65,59,,127.037648,37.5900869,203325.0376,554503.3444
16,공공시설,공공청사,제기동주민센터,서울특별시 동대문구 약령시로 71,서울특별시 동대문구 제기동 830-1,700.76,58,,127.037902,37.583068,203347.785,553724.335
17,특정계층이용시설,회원이용시설,행복마을경로당,서울특별시 동대문구 고산자로56길 51 (제기동),서울특별시 동대문구 제기동 122-444,68.73,20,,127.038635,37.5900401,203412.2107,554498.1855
18,특정계층이용시설,회원이용시설,제기한신아파트제2경로당,"서울특별시 동대문구 회기로8길 20 (제기동, 한신아파트)",서울특별시 동대문구 제기동 1212-1,45,13,,127.0398715,37.5904312,203521.3989,554541.6389
19,특정계층이용시설,회원이용시설,만수경로당,서울특별시 동대문구 약령시로5길 22,서울특별시 동대문구 제기동 220,115.5,34,,127.03421,37.58413,203021.6373,553842.0798
20,특정계층이용시설,회원이용시설,방아다리경로당,서울특별시 동대문구 약령시로9길 75 (제기동),서울특별시 동대문구 제기동 135-157,99,30,,127.0358589,37.5861867,203167.1911,554070.4044
21,특정계층이용시설,회원이용시설,제기경로당,서울특별시 동대문구 경동시장로23길 14 (제기동),서울특별시 동대문구 제기동 681-2,213.5,68,,127.0395014,37.5857446,203488.9309,554021.4654
22,특정계층이용시설,기타,동대문종합사회복지관,서울특별시 동대문구 약령시로5길 22,서울특별시 동대문구 제기동 220,"7,464.00",10,,127.0341177,37.5840579,203013.4877,553834.0745
